GUID;Titre;BODY;bouteille;taxo
510;GIGONDAS Tradition Rouge;"Cépages : prédominance de grenache, renforcé par la syrah, le mourvèdre et le cinsault.

Notes de dégustation : c'est un vin captivant, dense, bien équilibré et épicé avec beaucoup d'élégance dans la puissance. Grâce à un passage de 6 à 8 mois dans des foudres de chêne, une oxydation douce s'opère, augmentant de façon naturelle et harmonieuse la complexité aromatique de ce Gigondas.

Accords mets et vins : viandes rouges et particulièrement 
l'agneau, gibier, plats épicés, fromages. À servir idéalement entre 16° et 18°.
Peut se garder 10 à 15 ans.
";public://pictures/GIGONDAS.jpg;Rouge
;;;;
502;IGP Côtes Pérignan Les Terres Salées rouge 2011;"Le Château Bouisset est la propriété de Christophe Barbier, situé sur le massif de La Clape à l’est de Narbonne, au bord de la Méditerranée.
Cette ancienne et historique zone viticole commença à produire du vin lorsque les Romains s’implantèrent il y a plus de deux milles ans. La Narbonnaise était alors la deuxième ville de l’Empire romain après Rome et la Clape était encore une île.
Cette cuvée Terres salées atypique par son encépagement est classé en Côtes de Pérignan.

Cépage : Merlot.

Dégustation : robe intense ornée de reflets rubis. Le nez très flatteur exalte les fruits noirs (mûre, cassis, myrtille) bien mûrs. Le toasté de la barrique apporte son lot de senteurs grillés et enivrantes. La bouche offre la même sensation de confort et de maturité portés par des tanins caressants et offrant une rondeur au palais irrésistible. La fin de bouche gourmande, persiste longuement.

Accommodement : s’accordera à merveille avec un gigot d’agneau rôti aux herbes (thym, laurier, etc), un filet mignon de porc, un canard aux olives, une côte de bœuf. Il fera également merveille sur des gibiers à poils (chevreuil, sanglier …).

Service et conservation : vous le dégusterez aujourd’hui vers 17°C et jusqu’en 2018.

Vendange : les raisins sont vendangés à maturité optimum, à la main, puis triés à la cave.

Vinification : pigeage (extraction mécanique de la couleur, des arômes et des tanins) des raisins durant 35 jours. Fermentation malolactique en barrique d’un vin puis élevage sur lie (particules fines qui vont nourrir le vin) jusqu’au printemps.
";public://pictures/IGP-Cotes-Perignan-Les-Terres-Salees-rouge-2011.jpg;Rouge
;;;;
503;Soleil Liquide;"Castelmaure, frontera du Sud du temps où s’achevait ici le Royaume de France, c’est aussi ce que signifient les murs déchiquetés de la forteresse d’Aguilar toute proche – elle a depuis été promue « château cathare » – et les chicots de pierre de l’ancien château à l’abri duquel, s’établit vers 1070, le village de Castelmaure.
Dans les années 80, sous la houlette de Patrick de Marien, le président, et de Bernard Pueyo, le directeur, les 70 adhérents de la vieille coopé du village ont d’abord commencé à s'interroger sur leurs vignes : quels terroirs ? Quels cépages ? Enfin, pour plus de rigueur, l’ensemble des parcelles – 760 environ – a été inspecté et répertorié. Du coup, à Castelmaure, chaque parcelle est connue, suivie de façon individuelle par un technicien qui se consacre à plein temps à cette tâche.
Dans le souci permanent du respect de l’environnement et de la santé du consommateur, tous les raisins sont vendangés à la main, en petites comportes afin de préserver au mieux le fruit et ses arômes. La machine, à vendanger, monstre cyclopéen n'a pas sa place dans la Vallée du Paradis.
Côté Cave, l'équipe n'a pas hésité à s'entourer d'oenologues de renom, tels que Dominique Laurent, Michel Tardieu ou Marc Dubernet, avec un seul objectif : faire vivre cette terre précieuse au fond de chaque verre, de chaque bouteille griffée Castelmaure.
Plats conseillés
Salades : Salade tiède aux merguez 
Viande : Boeuf, veau,..., Viande grillée, grillades 
Gibier : Civet de sanglier, Cuissot de sanglier sauce venaison, Lièvre en civet, Magret d'oie, Perdreau rôti 
Cuisine Belge : Stoemp saucisse 
Cuisine Française : Cassoulet, Coq au vin.
";public://pictures/Soleil-liquide.jpg;Rouge
;;;;
504;Bergerie de l'Hortus rouge;"Cette cuvée existe sur les trois couleurs rouge, blanc et rosé. Elle provient de parcelles situées en bas de pente pour les cépages rouges et de parcelles situées dans le fond de la vallée pour les blancs. Nous aurons dans les deux cas des expositions intermédiaires moins marquées que les parcelles de milieu de Côtes. Les maturités dans l’ensemble y sont plus tardives que celles rencontrées pour la cuvée Domaine de l’Hortus. Pour le rouge et le rosé, les sols formés sur des éboulis d’éclats calcaires sont moins profonds, plus proches de la roche mère. De fait, les vignes sont plus sensibles à la sécheresse estivale. Les maturités obtenues entraînent un travail en cave en finesse : macérations et élevages relativement courts. 
Terroir :
parcelles de bas de Côte. Sols bruns formés sur des éboulis d’éclats calcaires du crétacé. Pentes allant de 10 à 30% et des altitudes variant de 150 à 200 mètres.
Cépages :
60% Syrah, 20% Mourvèdre, 20% Grenache.
Rendement :
30 à 45 hl/ha pour des parcelles dont les densités varient de 4000 à 7150 pieds hectares.
Vinification : 
vendanges éraflées et foulées. Période de cuvaison de 10 à 30 jours suivant les cépages et les maturités rencontrées.
Elevage : 
élevage de 12 mois en cuve pour le grenache et la syrah. Le Mourvèdre est élevé dans des tonneaux de 2 vins.
";public://pictures/Bergerie-Hortus-rouge.png;Rouge
;;;;
505;Pommard les noizons;"Appellation Village :
Il faut prendre garde aux idées toutes faites: la célébrité du Pommard au XIX ème siècle lui vaut l'image d'un vin insistant et viril. En réalité, les terroirs, les vinifications et l'âge nuancent ce portrait pour offrir un vin riche en sensibilité. Rouge profond, rubis pourpre foncé, sa robe aux lueurs mauves nous conduit sur des arômes de mûre, myrtille ou groseille. C'est un vin à laisser veillir afin qu'il s'ouvre pleinement. C'est un vin riche assurément.

Conseil du Sommelier :
Cet illustre vin de la Côte de Beaune se régale avec des viandes sauvages, car ses tanins sont massifs et denses. Gibiers à poils ou à plumes, braisés, ou rôtis trouveront dans le Pommard, et surtout sur les 1er Crus, un interlocuteur indispensable. Il apprécie naturellement la compagnie des fromages aux saveurs développées.

Température de service : 14 à 16° C

Terroirs :
C'est le type même du vin de Bourgogne depuis des siècles: rouge, coloré, bouqueté, ferme et royal. C'est le vin de référence depuis le Moyen- âge comme ""le fleur des vins du Beaunois"". Exposition au levant et au midi pour une altitude entre 250 et 330 mètres.

Cépage : Pinot noir
";public://pictures/Pommard-les-noizons.jpg;Rouge
;;;;
